,ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
31,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2018,2018,04000US30,Montana,21,19.4164878389476,"Gardiner, MT",16000US3029950,gardiner-mt
32,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2018,2018,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
33,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2018,2018,04000US30,Montana,32,28.30194339616981,"Gardiner, MT",16000US3029950,gardiner-mt
34,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2018,2018,04000US30,Montana,50,27.586228448267445,"Gardiner, MT",16000US3029950,gardiner-mt
35,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2018,2018,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
36,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2018,2018,04000US30,Montana,78,35.34119409414458,"Gardiner, MT",16000US3029950,gardiner-mt
37,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2018,2018,04000US30,Montana,161,78.44743462982075,"Gardiner, MT",16000US3029950,gardiner-mt
38,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2018,2018,04000US30,Montana,16,18.973665961010276,"Gardiner, MT",16000US3029950,gardiner-mt
39,12,Public Administration (Group),19,Public Administration,2018,2018,04000US30,Montana,71,39.20459156782532,"Gardiner, MT",16000US3029950,gardiner-mt
40,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2017,2017,04000US30,Montana,14,17.464249196572982,"Gardiner, MT",16000US3029950,gardiner-mt
41,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2017,2017,04000US30,Montana,3,11.6619037896906,"Gardiner, MT",16000US3029950,gardiner-mt
42,1,Construction (Group),2,Construction,2017,2017,04000US30,Montana,15,9.848857801796104,"Gardiner, MT",16000US3029950,gardiner-mt
43,2,Manufacturing (Group),3,Manufacturing,2017,2017,04000US30,Montana,11,19.72308292331602,"Gardiner, MT",16000US3029950,gardiner-mt
44,3,Wholesale Trade (Group),4,Wholesale Trade,2017,2017,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
45,4,Retail Trade (Group),5,Retail Trade,2017,2017,04000US30,Montana,183,146.70037491431302,"Gardiner, MT",16000US3029950,gardiner-mt
46,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2017,2017,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
47,5,"Transportation & Warehousing, & Utilities",7,Utilities,2017,2017,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
48,6,Information (Group),8,Information,2017,2017,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
49,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2017,2017,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
50,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2017,2017,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
51,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2017,2017,04000US30,Montana,18,17.08800749063506,"Gardiner, MT",16000US3029950,gardiner-mt
52,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2017,2017,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
53,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2017,2017,04000US30,Montana,28,29.5296461204668,"Gardiner, MT",16000US3029950,gardiner-mt
54,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2017,2017,04000US30,Montana,78,38.89730067755345,"Gardiner, MT",16000US3029950,gardiner-mt
55,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2017,2017,04000US30,Montana,5,5.385164807134504,"Gardiner, MT",16000US3029950,gardiner-mt
56,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2017,2017,04000US30,Montana,59,25.553864678361276,"Gardiner, MT",16000US3029950,gardiner-mt
57,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2017,2017,04000US30,Montana,148,58.309518948453,"Gardiner, MT",16000US3029950,gardiner-mt
58,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2017,2017,04000US30,Montana,24,18.384776310850235,"Gardiner, MT",16000US3029950,gardiner-mt
59,12,Public Administration (Group),19,Public Administration,2017,2017,04000US30,Montana,68,36.400549446402586,"Gardiner, MT",16000US3029950,gardiner-mt
60,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2016,2016,04000US30,Montana,21,22.67156809750927,"Gardiner, MT",16000US3029950,gardiner-mt
61,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2016,2016,04000US30,Montana,4,11.180339887498949,"Gardiner, MT",16000US3029950,gardiner-mt
62,1,Construction (Group),2,Construction,2016,2016,04000US30,Montana,3,4.242640687119286,"Gardiner, MT",16000US3029950,gardiner-mt
63,2,Manufacturing (Group),3,Manufacturing,2016,2016,04000US30,Montana,6,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
64,3,Wholesale Trade (Group),4,Wholesale Trade,2016,2016,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
65,4,Retail Trade (Group),5,Retail Trade,2016,2016,04000US30,Montana,210,160.3277892319357,"Gardiner, MT",16000US3029950,gardiner-mt
66,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2016,2016,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
67,5,"Transportation & Warehousing, & Utilities",7,Utilities,2016,2016,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
68,6,Information (Group),8,Information,2016,2016,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
69,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2016,2016,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
70,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2016,2016,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
71,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2016,2016,04000US30,Montana,15,15.231546211727816,"Gardiner, MT",16000US3029950,gardiner-mt
72,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2016,2016,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
73,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2016,2016,04000US30,Montana,16,16.970562748477143,"Gardiner, MT",16000US3029950,gardiner-mt
74,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2016,2016,04000US30,Montana,65,38.28837943815329,"Gardiner, MT",16000US3029950,gardiner-mt
