,ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography
64,0,Owner Occupied,2014,2014,22987,545.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
65,1,Renter Occupied,2014,2014,14508,669.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
66,0,Owner Occupied,2014,2014,258,57.00000000000001,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
67,1,Renter Occupied,2014,2014,407,82.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
68,0,Owner Occupied,2014,2014,22987,545.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
69,1,Renter Occupied,2014,2014,14508,669.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
70,0,Owner Occupied,2014,2014,35142,761.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
71,1,Renter Occupied,2014,2014,18301,745.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
72,0,Owner Occupied,2013,2013,75075700,345645.0,United States,01000US,united-states
73,1,Renter Occupied,2013,2013,40534516,114260.0,United States,01000US,united-states
74,0,Owner Occupied,2013,2013,276939,2112.0,Montana,04000US30,montana
75,1,Renter Occupied,2013,2013,128586,1495.0,Montana,04000US30,montana
76,0,Owner Occupied,2013,2013,22857,612.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
77,1,Renter Occupied,2013,2013,14116,578.0,"Gallatin County, MT",05000US30031,gallatin-county-mt
78,0,Owner Occupied,2013,2013,236,68.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
79,1,Renter Occupied,2013,2013,389,87.0,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
80,0,Owner Occupied,2013,2013,22857,612.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
81,1,Renter Occupied,2013,2013,14116,578.0,"Bozeman, MT",31000US14580,bozeman-mt-31000US14580
82,0,Owner Occupied,2013,2013,34966,792.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
83,1,Renter Occupied,2013,2013,17835,716.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
