,ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
30,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2018,2018,04000US30,Montana,13,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
31,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2018,2018,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
32,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2018,2018,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
33,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2018,2018,04000US30,Montana,10,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
34,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2018,2018,04000US30,Montana,17,20.248456731316587,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
35,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2018,2018,04000US30,Montana,14,10.770329614269007,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
36,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2018,2018,04000US30,Montana,40,30.610455730027937,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
37,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2018,2018,04000US30,Montana,249,85.27602242131137,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
38,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2018,2018,04000US30,Montana,11,19.72308292331602,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
39,12,Public Administration (Group),19,Public Administration,2018,2018,04000US30,Montana,16,19.4164878389476,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
40,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2017,2017,04000US30,Montana,15,25.079872407968907,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
41,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2017,2017,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
42,1,Construction (Group),2,Construction,2017,2017,04000US30,Montana,49,38.07886552931954,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
43,2,Manufacturing (Group),3,Manufacturing,2017,2017,04000US30,Montana,8,16.401219466856723,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
44,3,Wholesale Trade (Group),4,Wholesale Trade,2017,2017,04000US30,Montana,22,23.345235059857504,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
45,4,Retail Trade (Group),5,Retail Trade,2017,2017,04000US30,Montana,90,47.4236228055175,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
46,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2017,2017,04000US30,Montana,53,33.301651610693426,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
47,5,"Transportation & Warehousing, & Utilities",7,Utilities,2017,2017,04000US30,Montana,3,11.180339887498949,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
48,6,Information (Group),8,Information,2017,2017,04000US30,Montana,10,18.027756377319946,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
49,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2017,2017,04000US30,Montana,9,18.027756377319946,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
50,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2017,2017,04000US30,Montana,29,27.85677655436824,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
51,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2017,2017,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
52,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2017,2017,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
53,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2017,2017,04000US30,Montana,24,21.4009345590327,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
54,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2017,2017,04000US30,Montana,14,25.079872407968907,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
55,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2017,2017,04000US30,Montana,24,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
56,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2017,2017,04000US30,Montana,40,31.622776601683793,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
57,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2017,2017,04000US30,Montana,253,85.42833253669417,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
58,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2017,2017,04000US30,Montana,10,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
59,12,Public Administration (Group),19,Public Administration,2017,2017,04000US30,Montana,12,16.492422502470642,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
60,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2016,2016,04000US30,Montana,10,24.166091947189148,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
61,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2016,2016,04000US30,Montana,3,11.180339887498949,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
62,1,Construction (Group),2,Construction,2016,2016,04000US30,Montana,49,33.54101966249684,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
63,2,Manufacturing (Group),3,Manufacturing,2016,2016,04000US30,Montana,8,16.401219466856723,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
64,3,Wholesale Trade (Group),4,Wholesale Trade,2016,2016,04000US30,Montana,14,19.72308292331602,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
65,4,Retail Trade (Group),5,Retail Trade,2016,2016,04000US30,Montana,96,41.012193308819754,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
66,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2016,2016,04000US30,Montana,54,34.20526275297414,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
67,5,"Transportation & Warehousing, & Utilities",7,Utilities,2016,2016,04000US30,Montana,5,11.6619037896906,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
68,6,Information (Group),8,Information,2016,2016,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
69,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2016,2016,04000US30,Montana,12,18.867962264113206,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
70,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2016,2016,04000US30,Montana,26,27.85677655436824,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
71,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2016,2016,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
72,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2016,2016,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
73,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2016,2016,04000US30,Montana,25,24.08318915758459,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
74,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2016,2016,04000US30,Montana,7,12.206555615733702,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
